"","isolate","class","averageAbundance","occupancyPer","soil"
"806rcbc280","806rcbc280","Transients",0.066334991708126,0.829187396351575,"Others"
"806rcbc281","806rcbc281","Transients",0.0978441127694859,1.32669983416252,"Others"
"806rcbc282","806rcbc282","Transients",535.502487562189,23.3830845771144,"Others"
"806rcbc283","806rcbc283","Transients",0.36318407960199,1.65837479270315,"Others"
"806rcbc291","806rcbc291","Transients",487.63184079602,26.865671641791,"UG"
"806rcbc295","806rcbc295","Transients",32.1475953565506,5.63847429519071,"UG"
"806rcbc3","806rcbc3","Transients",34.4958540630182,7.13101160862355,"NO"
"806rcbc30","806rcbc30","Transients",7.91542288557214,14.4278606965174,"NO"
"806rcbc302","806rcbc302","Transients",396.69320066335,21.3930348258706,"UG"
"806rcbc304","806rcbc304","Transients",202.510779436153,9.78441127694859,"UG"
"806rcbc305","806rcbc305","Transients",102.051409618574,7.79436152570481,"UG"
"806rcbc307","806rcbc307","Transients",263.759535655058,13.9303482587065,"UG"
"806rcbc308","806rcbc308","Transients",13.4029850746269,5.14096185737977,"UG"
"806rcbc31","806rcbc31","Transients",1.6334991708126,11.2769485903814,"SE"
"806rcbc313","806rcbc313","Transients",550.983416252073,39.6351575456053,"UG"
"806rcbc315","806rcbc315","Transients",273.988391376451,14.759535655058,"UG"
"806rcbc329","806rcbc329","Transients",0.0398009950248756,0.165837479270315,"SE"
"806rcbc332","806rcbc332","Transients",525.873963515755,10.2819237147595,"UG"
"806rcbc335","806rcbc335","Transients",394.049751243781,17.2470978441128,"UG"
"806rcbc337","806rcbc337","Transients",62.2520729684909,34.6600331674959,"UG"
"806rcbc339","806rcbc339","Transients",231.665008291874,9.12106135986733,"UG"
"806rcbc34","806rcbc34","Transients",115.706467661692,12.4378109452736,"SE"
"806rcbc346","806rcbc346","Transients",500.462686567164,15.9203980099502,"UG"
"806rcbc347","806rcbc347","Transients",1.38640132669983,11.7744610281924,"UG"
"806rcbc348","806rcbc348","Transients",0.606965174129353,2.1558872305141,"UG"
"806rcbc35","806rcbc35","Transients",22.0431177446103,33.8308457711443,"NO"
"806rcbc350","806rcbc350","Transients",0.00497512437810945,0.165837479270315,"SE"
"806rcbc353","806rcbc353","Transients",331.208955223881,6.79933665008292,"SE"
"806rcbc358","806rcbc358","Transients",225.036484245439,7.46268656716418,"UG"
"806rcbc362","806rcbc362","Transients",437.648424543947,11.6086235489221,"UG"
"806rcbc366","806rcbc366","Transients",184.22056384743,9.12106135986733,"UG"
"806rcbc371","806rcbc371","Transients",21.1641791044776,1.65837479270315,"SE"
"806rcbc375","806rcbc375","Transients",26.1442786069652,2.1558872305141,"UG"
"806rcbc376","806rcbc376","Transients",317.582089552239,7.62852404643449,"UG"
"806rcbc38","806rcbc38","Transients",12.3847429519071,5.97014925373134,"NO"
"806rcbc380","806rcbc380","Transients",19.5605306799337,4.31177446102819,"UG"
"806rcbc381","806rcbc381","Transients",69.5223880597015,6.30182421227197,"UG"
"806rcbc382","806rcbc382","Transients",294.847429519071,11.6086235489221,"UG"
"806rcbc384","806rcbc384","Transients",64.742951907131,6.6334991708126,"UG"
"806rcbc387","806rcbc387","Transients",66.7611940298507,3.48258706467662,"SE"
"806rcbc39","806rcbc39","Transients",28.9568822553897,4.31177446102819,"NO"
"806rcbc392","806rcbc392","Transients",5.4212271973466,5.4726368159204,"SE"
"806rcbc4","806rcbc4","Transients",303.792703150912,7.79436152570481,"NO"
"806rcbc402","806rcbc402","Transients",0.0116086235489221,0.33167495854063,"SE"
"806rcbc403","806rcbc403","Transients",0.530679933665008,9.45273631840796,"Others"
"806rcbc404","806rcbc404","Transients",61.2056384742952,2.1558872305141,"SE"
"806rcbc405","806rcbc405","Transients",0.0447761194029851,0.497512437810945,"Others"
"806rcbc406","806rcbc406","Transients",0.0729684908789386,0.165837479270315,"SE"
"806rcbc408","806rcbc408","Transients",322.396351575456,9.61857379767828,"UG"
"806rcbc41","806rcbc41","Transients",22.7960199004975,4.97512437810945,"NO"
"806rcbc413","806rcbc413","Transients",28.9585406301824,19.0713101160862,"SE"
"806rcbc415","806rcbc415","Transients",21.9535655058043,1.32669983416252,"Others"
"806rcbc42","806rcbc42","Transients",9.22553897180763,7.29684908789386,"SE"
"806rcbc420","806rcbc420","Transients",0.0530679933665008,0.165837479270315,"SE"
